"longitude","latitude","category","name",,
"-77.06261 "," 38.90468","Restaurant","Chop Sticks",,
"-77.06132 "," 38.90469","Restaurant","Ristorante Piccolo",,
"-77.06131 "," 38.9048","Fast Food Restaurant","Moby Dick House of Kabob",,
"-77.06204 "," 38.90502","Restaurant","Bistro Francais",,
"-77.06095 "," 38.90758","district_of_columbia_Eating_Drin",,,
"-77.06329 "," 38.90503","district_of_columbia_Eating_Drin",,,
"-77.06184 "," 38.90503","Fast Food Restaurant","Haagen Dazs",,
"-77.06178 "," 38.90503","Restaurant","Bodega",,
"-77.06137 "," 38.90505","Restaurant","Mr. Smith's",,
"-77.06217 "," 38.90535","Restaurant","Old Glory",,
"-77.06208 "," 38.90535","Fast Food Restaurant","Ben & Jerry's",,
"-77.062 "," 38.90535","Restaurant","Johnny Rocket",,
"-77.06191 "," 38.90535","Restaurant","Mie N Yu",,
"-77.06317 "," 38.90551","Pub","Champions",,
"-77.06301 "," 38.90568","Pub","Third Edition",,
"-77.06329 "," 38.90614","Restaurant","Prince Cafe",,
"-77.06321 "," 38.90674","Pub","Billy Martin's Tavern",,
"-77.06287 "," 38.90693","Restaurant","Paolo's",,
"-77.06318 "," 38.90751","Fast Food Restaurant","Five Guys",,
"-77.052 "," 38.90751","district_of_columbia_Eating_Drin",,,
"-77.06095 "," 38.90172","district_of_columbia_Eating_Drin",,,
"-77.06095 "," 38.90453","Restaurant","Paper Moon",,
"-77.06095 "," 38.90335","Cafe","Zenobia Cafe",,
"-77.06093 "," 38.90365","Cafe","Cafe La Ruche",,
"-77.06066 "," 38.90503","Pub","Thunder Burger & Bar",,
"-77.0605 "," 38.90534","Restaurant","Miss Saigon",,
"-77.06025 "," 38.90211","Cafe","Starbucks",,
"-77.05992 "," 38.90205","Restaurant","Bangkok Joe's",,
"-77.05955 "," 38.90538","Restaurant","Fino",,
"-77.0594 "," 38.90537","Pub","Garrett's Restaurant",,
"-77.05936 "," 38.90506","Cafe","La Madeleine",,
"-77.05931 "," 38.90538","Fast Food Restaurant","Iceberry",,
"-77.0593 "," 38.90488","Restaurant","Citronelle",,
"-77.05903 "," 38.90506","Restaurant","Vietnam Georgetown Restaurant",,
"-77.05859 "," 38.90536","Restaurant","The Guards",,
"-77.052 "," 38.90792","district_of_columbia_Eating_Drin",,,
"-77.05761 "," 38.90172","district_of_columbia_Eating_Drin",,,
"-77.05753 "," 38.9054","Cafe","Le Pain Quotidien",,
"-77.05746 "," 38.9054","Restaurant","La Chaumiere",,
"-77.05738 "," 38.9054","Restaurant","Don Lobo's Mexican Grill",,
"-77.0573 "," 38.9054","Restaurant","Taj of India",,
"-77.05718 "," 38.90541","Cafe","Furin's",,
"-77.05686 "," 38.9054","Restaurant","Das Ethiopian Cuisine",,
"-77.05491 "," 38.90392","Restaurant","Ristorante La Perla",,
"-77.05431 "," 38.90355","Restaurant","Marshall's",,
"-77.05397 "," 38.90353","Restaurant","Thai Coast Restaurant",,
"-77.05386 "," 38.90408","Restaurant","The Rookery",,
"-77.05384 "," 38.90356","Pub","The 51st State",,
"-77.05226 "," 38.90355","Restaurant","One Fish Two Fish",,
